start_id,end_id,type
CLIMATE LLC,938,LOCATED_IN
HYDAC SYSTEMS & SERVICES GMBH; Amazonen-Werke H. Dreyer SE & Co. KG,0,LOCATED_IN
Synthes GmbH,0,LOCATED_IN
OPTOS PLC,294,LOCATED_IN
UNIVERSITY OF VIRGINIA PATENT FOUNDATION,188,LOCATED_IN
NURALOGIX CORPORATION,1104,LOCATED_IN
Bertec Corporation,234,LOCATED_IN
Globus Medical Inc.,49,LOCATED_IN
Electronic Arts Inc.,904,LOCATED_IN
NVIDIA CORPORATION,963,LOCATED_IN
"MFE Enterprises, Inc.",287,LOCATED_IN
LG ELECTRONICS INC.,989,LOCATED_IN
"Sigma Additive Solutions, Inc.",965,LOCATED_IN
Electriphi Inc,951,LOCATED_IN
Motional AD LLC,111,LOCATED_IN
"Zoox, Inc.",355,LOCATED_IN
Progress Rail Services Corporation,15,LOCATED_IN
"DCENTRALIZED SYSTEMS, INC.",0,LOCATED_IN
The Boeing Company,38,LOCATED_IN
BD KIESTRA B.V.,283,LOCATED_IN
BP Exploration Operating Company Limited,336,LOCATED_IN
HAMILTON SUNDSTRAND CORPORATION,187,LOCATED_IN
Johnson Controls Tyco IP Holdings LLP,719,LOCATED_IN
Intel Corporation,963,LOCATED_IN
"Lyft, Inc.",951,LOCATED_IN
"Beijing Baidu Netcom Science Technology Co., Ltd.",70,LOCATED_IN
Duradiamond Software Limited,295,LOCATED_IN
"Leuko Labs, Inc.",111,LOCATED_IN
"QINGDAO TOPSCOMM COMMUNICATION CO., LTD",992,LOCATED_IN
"SYNOPSYS, INC.",1051,LOCATED_IN
"Telenav, Inc.",963,LOCATED_IN
CHEVRON U.S.A. INC.,957,LOCATED_IN
Saudi Arabian Oil Company,273,LOCATED_IN
ENI S.P.A.,926,LOCATED_IN
"Ford Global Technologies, LLC",263,LOCATED_IN
TECHNISCHE UNIVERSITÄT BERLIN,82,LOCATED_IN
"UATC, LLC",747,LOCATED_IN
Trimble Inc.,1183,LOCATED_IN
"Beijing Voyager Technology Co., Ltd.",70,LOCATED_IN
"Capital One Services, LLC",686,LOCATED_IN
International Business Machines Corporation,39,LOCATED_IN
Accenture Global Solutions Limited,290,LOCATED_IN
Hewlett Packard Enterprise Development LP,1031,LOCATED_IN
"Microsoft Technology Licensing, LLC",903,LOCATED_IN
Healtech Software India Pvt. Ltd.,1054,LOCATED_IN
Oracle International Corporation,905,LOCATED_IN
"Western Digital Technologies, Inc.",954,LOCATED_IN
"Amazon Technologies, Inc.",985,LOCATED_IN
Dell Products L.P.,471,LOCATED_IN
"Lakeside Software, LLC",99,LOCATED_IN
SIEMENS AKTIENGESELLSCHAFT,751,LOCATED_IN
Apple Inc.,248,LOCATED_IN
Arm Limited,154,LOCATED_IN
Konda Technologies Inc.,954,LOCATED_IN
"Rubrik, Inc.",843,LOCATED_IN
"Nutanix, Inc.",954,LOCATED_IN
"Pure Storage, Inc.",963,LOCATED_IN
LUTHER SYSTEMS US INCORPORATED,639,LOCATED_IN
Truist Bank,187,LOCATED_IN
"JPMORGAN CHASE BANK, N.A.",786,LOCATED_IN
Palantir Technologies Inc.,270,LOCATED_IN
SAP SE,1156,LOCATED_IN
APPLICA SP. Z O.O.,1160,LOCATED_IN
Snowflake Inc.,115,LOCATED_IN
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,100,LOCATED_IN
Google LLC,747,LOCATED_IN
"KOFAX, INC.",498,LOCATED_IN
Dell Products L.P.,932,LOCATED_IN
Snap Inc.,966,LOCATED_IN
"Casetext, Inc.",951,LOCATED_IN
DSilo Inc.,786,LOCATED_IN
Zelig LLC,199,LOCATED_IN
Entefy Inc.,843,LOCATED_IN
Intuit Inc.,747,LOCATED_IN
"Zakta, LLC",210,LOCATED_IN
Verizon Patent and Licensing Inc.,512,LOCATED_IN
; ,0,LOCATED_IN
Wix.com Ltd.,1084,LOCATED_IN
"APPLIED MATERIALS, INC.",963,LOCATED_IN
TENCENT TECHNOLOGY (SHENZHEN) COMPANY LIMITED,627,LOCATED_IN
"SYQURX, INC",697,LOCATED_IN
"Ambient AI, Inc.",954,LOCATED_IN
"Materialise USA, LLC",864,LOCATED_IN
KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,252,LOCATED_IN
The Boeing Company,199,LOCATED_IN
,155,LOCATED_IN
