id,label
CLIMATE LLC,Assignee
HYDAC SYSTEMS & SERVICES GMBH; Amazonen-Werke H. Dreyer SE & Co. KG,Assignee
Synthes GmbH,Assignee
OPTOS PLC,Assignee
UNIVERSITY OF VIRGINIA PATENT FOUNDATION,Assignee
NURALOGIX CORPORATION,Assignee
Bertec Corporation,Assignee
Globus Medical Inc.,Assignee
Electronic Arts Inc.,Assignee
NVIDIA CORPORATION,Assignee
"MFE Enterprises, Inc.",Assignee
LG ELECTRONICS INC.,Assignee
"Sigma Additive Solutions, Inc.",Assignee
Electriphi Inc,Assignee
Motional AD LLC,Assignee
"Zoox, Inc.",Assignee
Progress Rail Services Corporation,Assignee
"DCENTRALIZED SYSTEMS, INC.",Assignee
The Boeing Company,Assignee
BD KIESTRA B.V.,Assignee
BP Exploration Operating Company Limited,Assignee
HAMILTON SUNDSTRAND CORPORATION,Assignee
Johnson Controls Tyco IP Holdings LLP,Assignee
Intel Corporation,Assignee
"Lyft, Inc.",Assignee
"Beijing Baidu Netcom Science Technology Co., Ltd.",Assignee
Duradiamond Software Limited,Assignee
"Leuko Labs, Inc.",Assignee
"QINGDAO TOPSCOMM COMMUNICATION CO., LTD",Assignee
"SYNOPSYS, INC.",Assignee
"Telenav, Inc.",Assignee
CHEVRON U.S.A. INC.,Assignee
Saudi Arabian Oil Company,Assignee
ENI S.P.A.,Assignee
"Ford Global Technologies, LLC",Assignee
TECHNISCHE UNIVERSITÄT BERLIN,Assignee
"UATC, LLC",Assignee
Trimble Inc.,Assignee
"Beijing Voyager Technology Co., Ltd.",Assignee
"Capital One Services, LLC",Assignee
International Business Machines Corporation,Assignee
Accenture Global Solutions Limited,Assignee
Hewlett Packard Enterprise Development LP,Assignee
"Microsoft Technology Licensing, LLC",Assignee
Healtech Software India Pvt. Ltd.,Assignee
Oracle International Corporation,Assignee
"Western Digital Technologies, Inc.",Assignee
"Amazon Technologies, Inc.",Assignee
Dell Products L.P.,Assignee
"Lakeside Software, LLC",Assignee
SIEMENS AKTIENGESELLSCHAFT,Assignee
Apple Inc.,Assignee
Arm Limited,Assignee
Konda Technologies Inc.,Assignee
"Rubrik, Inc.",Assignee
"Nutanix, Inc.",Assignee
"Pure Storage, Inc.",Assignee
LUTHER SYSTEMS US INCORPORATED,Assignee
Truist Bank,Assignee
"JPMORGAN CHASE BANK, N.A.",Assignee
Palantir Technologies Inc.,Assignee
SAP SE,Assignee
APPLICA SP. Z O.O.,Assignee
Snowflake Inc.,Assignee
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,Assignee
Google LLC,Assignee
"KOFAX, INC.",Assignee
Snap Inc.,Assignee
"Casetext, Inc.",Assignee
DSilo Inc.,Assignee
Zelig LLC,Assignee
Entefy Inc.,Assignee
Intuit Inc.,Assignee
"Zakta, LLC",Assignee
Verizon Patent and Licensing Inc.,Assignee
;,Assignee
Wix.com Ltd.,Assignee
"APPLIED MATERIALS, INC.",Assignee
TENCENT TECHNOLOGY (SHENZHEN) COMPANY LIMITED,Assignee
"SYQURX, INC",Assignee
"Ambient AI, Inc.",Assignee
"Materialise USA, LLC",Assignee
KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,Assignee
nan,Assignee
"NETAPP, INC.",Assignee
EMC IP Holding Company LLC,Assignee
"SHENZHEN DAPU MICROELECTRONICS CO., LTD.",Assignee
"Micron Technology, Inc.",Assignee
X Development LLC,Assignee
"WYBOTICS Co., LTD.",Assignee
"SAMSUNG DISPLAY CO., LTD.",Assignee
National Institute of Information and Communications Technology,Assignee
"JD.com American Technologies Corporation; BEIJING WODONG TIANJUN INFORMATION TECHNOLOGY CO., LTD.",Assignee
Educational Testing Service,Assignee
C SQUARED IP HOLDINGS LLC,Assignee
MicroStrategy Incorporated,Assignee
"CRYPTOGRAPHY RESEARCH, INC.",Assignee
"Huawei Technologies Co., Ltd.",Assignee
Parallels International GmbH,Assignee
"Nant Holdings IP, LLC",Assignee
Nordic Semiconductor ASA,Assignee
"Cadence Design Systems, Inc.",Assignee
D-WAVE SYSTEMS INC.,Assignee
"BLUEBIRD LABS, INC.",Assignee
QUALCOMM Incorporated,Assignee
KPN INNOVATIONS LLC,Assignee
"Zscaler, Inc.",Assignee
DeepMind Technologies Limited,Assignee
Mayo Foundation for Medical Education and Research; Arizona Board of Regents on behalf of Arizona State University,Assignee
Waymo LLC,Assignee
DISTECH CONTROLS INC.,Assignee
"DEEPX CO., LTD.",Assignee
Huazhong University of Science and Technology,Assignee
"ILLUMINA, INC.",Assignee
"Aveva Software, LLC",Assignee
L'OREAL,Assignee
"PassiveLogic, Inc.",Assignee
"Akasa, Inc.",Assignee
"SAMSUNG DISPLAY CO., LTD.; Seoul National University R&DB Foundation",Assignee
Zhejiang Lab,Assignee
"NASDAQ, INC.",Assignee
Trustees of Tufts College,Assignee
LUMINEX CORPORATION,Assignee
Coupa Software Incorporated,Assignee
HARTFORD FIRE INSURANCE COMPANY,Assignee
"CLOUDFLARE, INC.",Assignee
United Services Automobile Association (USAA),Assignee
Brex Inc.,Assignee
"Wells Fargo Bank, N.A.",Assignee
"PAYPAL, INC.",Assignee
"BEIJING DIDI INFINITY TECHNOLOGY AND DEVELOPMENT CO., LTD.",Assignee
Mulberry Technology Inc.,Assignee
Toshiba Tec Kabushiki Kaisha,Assignee
Optimizely North America Inc.,Assignee
Alberobello Capital Corporation,Assignee
ADOBE INC.,Assignee
"Concat Systems, Inc.",Assignee
Maplebear Inc.,Assignee
"Block, Inc.",Assignee
NATIONAL TSING HUA UNIVERSITY,Assignee
"GRAPHEN, INC.",Assignee
S&P Global Inc.,Assignee
NEC CORPORATION,Assignee
"Meta Platforms Technologies, LLC",Assignee
STATS LLC,Assignee
NHN CLOUD CORPORATION,Assignee
FEI Company,Assignee
ASML NETHERLANDS B.V.,Assignee
Koninklijke Philips N.V.,Assignee
SHIMADZU CORPORATION,Assignee
Siemens Healthcare GmbH,Assignee
"Heartflow, Inc.",Assignee
Qure.ai Technologies Private Limited,Assignee
BrightHeart SAS,Assignee
Brainlab AG,Assignee
THE REGENTS OF THE UNIVERSITY OF MICHIGAN; King's College London,Assignee
Elm Company,Assignee
SIKA TECHNOLOGY AG,Assignee
BID GROUP TECHNOLOGIES LTD,Assignee
PROSCIA INC.,Assignee
Shopify Inc.,Assignee
MYCROPS TECHNOLOGIES LTD.,Assignee
