id,label
Wei,Inventor
Yichuan Guan,Inventor
Gui,Inventor
Frank,Inventor
Georg,Inventor
Timo Grosse Prues,Inventor
Komma,Inventor
Kiefer,Inventor
Varga,Inventor
Peter Varjas,Inventor
Windolf,Inventor
Viktor,Inventor
Markus,Inventor
Michael,Inventor
Jano Verhoek,Inventor
van Hemert,Inventor
Thomas,Inventor
Huy HARTE,Inventor
Phan,Inventor
Sun,Inventor
Feng,Inventor
Ghadimi,Inventor
Xue Epstein,Inventor
Meyer,Inventor
Craig H.,Inventor
Changyu,Inventor
Frederick H.,Inventor
Sona,Inventor
Si,Inventor
Kang,Inventor
Pu Wu,Inventor
Lee,Inventor
Zheng,Inventor
Necip,Inventor
Aysun Berme,Inventor
Gokoglu,Inventor
Bono,Inventor
Scales,Inventor
Lord,Inventor
Thomas J.,Inventor
John S.,Inventor
James D.,Inventor
Peter L. Lark,Inventor
Vincent Shiau,Inventor
John R. Hudak,Inventor
Stephen Roger Kestell,Inventor
Ennaji,Inventor
Islam,Inventor
Vukojevic,Inventor
Baurick,Inventor
Taradzei,Inventor
Jason,Inventor
Bojan,Inventor
Khurrum Mahesh,Inventor
Rachid,Inventor
Yury,Inventor
Siddheshwar,Inventor
Dylan,Inventor
Jason Duke,Inventor
Acerbi,Inventor
Eoh,Inventor
Yang,Inventor
Joo,Inventor
Kim,Inventor
Nam,Inventor
Gyuho Kim,Inventor
Jungsik,Inventor
Hyoungrock,Inventor
Jinuh,Inventor
Minjung,Inventor
Donghak,Inventor
Moonsik,Inventor
Sang Ki,Inventor
Sookhyun,Inventor
Cola,Inventor
Madigan,Inventor
Dave,Inventor
Martin S.,Inventor
Mark J.,Inventor
Vivek R.,Inventor
R. Bruce Piltch,Inventor
Muffaddal,Inventor
Sanjay Ghadiali,Inventor
Dayal,Inventor
Boulton,Inventor
Grigore,Inventor
Wolff,Inventor
Elena Corina,Inventor
Tung Minh,Inventor
Eric,Inventor
Emilio,Inventor
Freddy Frazzoli,Inventor
Wang,Inventor
Garimella,Inventor
Crego,Inventor
Kavalar,Inventor
Bagschik,Inventor
Andraz,Inventor
Andrew Scott,Inventor
Gowtham Haggblade,Inventor
Kai Zhenyu,Inventor
Gerrit,Inventor
Akif,Inventor
Brand,Inventor
"Evan Paul Silcox, Jr.",Inventor
Sevel,Inventor
John,Inventor
Frederick Gary,Inventor
Sammy,Inventor
Adlai,Inventor
Georgios Felser,Inventor
Chrysanthakopoulos,Inventor
Akshata Kishore,Inventor
Arvind,Inventor
Kaustubh,Inventor
Seema Moharir,Inventor
Sundararaman,Inventor
Kaluskar,Inventor
Chopra,Inventor
Sinnema,Inventor
Jurjen van der Dong,Inventor
Feijen,Inventor
Harm W.,Inventor
Franciscus,Inventor
Pradyumna THIRUVENKATANATHAN,Inventor
Manbinder Pal Singh,Inventor
Murugesan,Inventor
Drees,Inventor
Jiang,Inventor
Kirk H. Ramamurti,Inventor
Risbeck,Inventor
Young-Min,Inventor
Michael J.,Inventor
Zhanhong,Inventor
Viswanath,Inventor
Sugumar,Inventor
Zhongxuan Liu,Inventor
Thomas Michael,Inventor
Albert,Inventor
Barak Dedeco,Inventor
