id,location_clean
0,Unknown location
4,"Aarhus, Denmark"
15,"Albertville, AL, United States"
20,"Allentown, PA, United States"
21,"Aloma, FL, United States"
22,"Alpharetta, GA, United States"
25,"Ames, IA, United States"
38,"Arlington, VA, United States"
39,"Armonk, NY, United States"
44,"Atlanta, GA, United States"
49,"Audubon, PA, United States"
51,"Austin, TX, United States"
54,"Baar, Switzerland"
60,"Bangkok, Thailand"
70,"Beijing, China"
80,"Bentonville, AR, United States"
82,"Berlin, Germany"
96,"Biot, France"
99,"Bloomfield Hills, MI, United States"
100,"Bloomington, IL, United States"
101,"Bloomington, MN, United States"
107,"Boise, ID, United States"
111,"Boston, MA, United States"
113,"Boulder, CO, United States"
115,"Bozeman, MT, United States"
118,"Brantford, ON, Canada"
135,"Brossard, QC, Canada"
138,"Bryn Mawr, PA, United States"
144,"Burnaby, BC, Canada"
154,"Cambridge, United Kingdom"
155,"Cambridge, MA, United States"
160,"Canton, MI, United States"
163,"Carlsbad, CA, United States"
166,"Carouge, Switzerland"
187,"Charlotte, NC, United States"
188,"Charlottesville, VA, United States"
196,"Chesterfield, MO, United States"
199,"Chicago, IL, United States"
210,"Cincinnati, OH, United States"
226,"College Park, MD, United States"
234,"Columbus, OH, United States"
247,"Culver City, CA, United States"
248,"Cupertino, CA, United States"
250,Germany
252,"Daejeon, Korea, Republic of"
255,"Dallas, TX, United States"
258,"Danville, CA, United States"
263,"Dearborn, MI, United States"
270,"Denver, CO, United States"
273,"Dhahran, Saudi Arabia"
283,"Drachten, Netherlands"
284,"Draper, UT, United States"
287,"Dripping Springs, TX, United States"
290,"Dublin, Ireland"
294,"Dunfermline, United Kingdom"
295,"Dunning, United Kingdom"
297,"Eagan, MN, United States"
298,"Eagle, ID, United States"
301,"East Lyme, CT, United States"
302,"Eastern Shores, FL, United States"
306,"Eden Prairie, MN, United States"
310,"Eindhoven, Netherlands"
316,"Emeryville, CA, United States"
321,"Erlangen, Germany"
322,"Espoo, Finland"
325,"Evanston, IL, United States"
336,"Far Bletchley, United Kingdom"
349,"Fort Lauderdale, FL, United States"
