start_id,end_id,type
11856881,A01,CLASSIFIED_AS
11856881,G06,CLASSIFIED_AS
11856943,A01,CLASSIFIED_AS
11857204,A61,CLASSIFIED_AS
11857257,A61,CLASSIFIED_AS
11857257,G06,CLASSIFIED_AS
11857271,A61,CLASSIFIED_AS
11857271,G06,CLASSIFIED_AS
11857288,G16,CLASSIFIED_AS
11857288,G06,CLASSIFIED_AS
11857288,A61,CLASSIFIED_AS
11857288,G01,CLASSIFIED_AS
11857323,A61,CLASSIFIED_AS
11857323,G06,CLASSIFIED_AS
11857323,G16,CLASSIFIED_AS
11857331,A61,CLASSIFIED_AS
11857331,A63,CLASSIFIED_AS
11857351,B25,CLASSIFIED_AS
11857351,A61,CLASSIFIED_AS
11857759,A61,CLASSIFIED_AS
11857841,A63,CLASSIFIED_AS
11857841,G06,CLASSIFIED_AS
11857868,A63,CLASSIFIED_AS
11857868,G06,CLASSIFIED_AS
11857872,H04,CLASSIFIED_AS
11857872,A63,CLASSIFIED_AS
11858122,G05,CLASSIFIED_AS
11858122,G06,CLASSIFIED_AS
11858122,B25,CLASSIFIED_AS
11858149,B25,CLASSIFIED_AS
11858149,G05,CLASSIFIED_AS
11858207,B29,CLASSIFIED_AS
11858207,B22,CLASSIFIED_AS
11858207,B33,CLASSIFIED_AS
11858207,Y02,CLASSIFIED_AS
11858356,H04,CLASSIFIED_AS
11858356,Y02,CLASSIFIED_AS
11858356,G07,CLASSIFIED_AS
11858356,G06,CLASSIFIED_AS
11858356,G05,CLASSIFIED_AS
11858356,G01,CLASSIFIED_AS
11858356,B60,CLASSIFIED_AS
11858508,B60,CLASSIFIED_AS
11858508,G01,CLASSIFIED_AS
11858508,G05,CLASSIFIED_AS
11858508,G06,CLASSIFIED_AS
11858508,G08,CLASSIFIED_AS
11858514,G06,CLASSIFIED_AS
11858514,B60,CLASSIFIED_AS
11858543,B61,CLASSIFIED_AS
11858543,G06,CLASSIFIED_AS
11858551,B62,CLASSIFIED_AS
11858551,B21,CLASSIFIED_AS
11858551,B60,CLASSIFIED_AS
11858551,E02,CLASSIFIED_AS
11858551,B23,CLASSIFIED_AS
11858651,G06,CLASSIFIED_AS
11858651,B64,CLASSIFIED_AS
11858796,B67,CLASSIFIED_AS
11858796,G01,CLASSIFIED_AS
11859488,E21,CLASSIFIED_AS
11859488,G01,CLASSIFIED_AS
11859488,G06,CLASSIFIED_AS
11859626,F05,CLASSIFIED_AS
11859626,G06,CLASSIFIED_AS
11859626,F04,CLASSIFIED_AS
11859626,G05,CLASSIFIED_AS
11859847,F24,CLASSIFIED_AS
11859847,G05,CLASSIFIED_AS
11859973,G01,CLASSIFIED_AS
11859973,G06,CLASSIFIED_AS
11859985,G06,CLASSIFIED_AS
11859985,G01,CLASSIFIED_AS
11859998,G06,CLASSIFIED_AS
11859998,G08,CLASSIFIED_AS
11859998,G01,CLASSIFIED_AS
11859998,G09,CLASSIFIED_AS
11860027,G01,CLASSIFIED_AS
11860114,G01,CLASSIFIED_AS
11860114,G06,CLASSIFIED_AS
11860154,G01,CLASSIFIED_AS
11860154,G06,CLASSIFIED_AS
11860154,G16,CLASSIFIED_AS
11860216,G01,CLASSIFIED_AS
11860216,G06,CLASSIFIED_AS
11860216,H02,CLASSIFIED_AS
11860227,G01,CLASSIFIED_AS
11860227,G06,CLASSIFIED_AS
