start_id,end_id,type
11856881,Wei,PATENTED_BY
11856881,Yichuan Guan,PATENTED_BY
11856881,Gui,PATENTED_BY
11856943,Frank,PATENTED_BY
11856943,Georg,PATENTED_BY
11856943,Timo Grosse Prues,PATENTED_BY
11856943,Komma,PATENTED_BY
11856943,Kiefer,PATENTED_BY
11857204,Varga,PATENTED_BY
11857204,Peter Varjas,PATENTED_BY
11857204,Windolf,PATENTED_BY
11857204,Viktor,PATENTED_BY
11857204,Markus,PATENTED_BY
11857257,Michael,PATENTED_BY
11857257,Jano Verhoek,PATENTED_BY
11857257,van Hemert,PATENTED_BY
11857271,Thomas,PATENTED_BY
11857271,Huy HARTE,PATENTED_BY
11857271,Phan,PATENTED_BY
11857288,Sun,PATENTED_BY
11857288,Feng,PATENTED_BY
11857288,Ghadimi,PATENTED_BY
11857288,Xue Epstein,PATENTED_BY
11857288,Meyer,PATENTED_BY
11857288,Craig H.,PATENTED_BY
11857288,Changyu,PATENTED_BY
11857288,Frederick H.,PATENTED_BY
11857288,Sona,PATENTED_BY
11857323,Si,PATENTED_BY
11857323,Kang,PATENTED_BY
11857323,Pu Wu,PATENTED_BY
11857323,Lee,PATENTED_BY
11857323,Zheng,PATENTED_BY
11857331,Necip,PATENTED_BY
11857331,Aysun Berme,PATENTED_BY
11857331,Gokoglu,PATENTED_BY
11857351,Bono,PATENTED_BY
11857351,Scales,PATENTED_BY
11857351,Lord,PATENTED_BY
11857351,Thomas J.,PATENTED_BY
11857351,John S.,PATENTED_BY
11857351,James D.,PATENTED_BY
11857351,Peter L. Lark,PATENTED_BY
11857759,Vincent Shiau,PATENTED_BY
11857841,John R. Hudak,PATENTED_BY
11857868,Stephen Roger Kestell,PATENTED_BY
11857872,Ennaji,PATENTED_BY
11857872,Islam,PATENTED_BY
11857872,Vukojevic,PATENTED_BY
11857872,Baurick,PATENTED_BY
11857872,Taradzei,PATENTED_BY
11857872,Jason,PATENTED_BY
11857872,Bojan,PATENTED_BY
11857872,Khurrum Mahesh,PATENTED_BY
11857872,Rachid,PATENTED_BY
11857872,Yury,PATENTED_BY
11857872,Siddheshwar,PATENTED_BY
11858122,Dylan,PATENTED_BY
11858122,Jason Duke,PATENTED_BY
11858122,Acerbi,PATENTED_BY
11858149,Eoh,PATENTED_BY
11858149,Yang,PATENTED_BY
11858149,Joo,PATENTED_BY
11858149,Kim,PATENTED_BY
11858149,Lee,PATENTED_BY
11858149,Nam,PATENTED_BY
11858149,Gyuho Kim,PATENTED_BY
11858149,Jungsik,PATENTED_BY
11858149,Hyoungrock,PATENTED_BY
11858149,Jinuh,PATENTED_BY
11858149,Minjung,PATENTED_BY
11858149,Donghak,PATENTED_BY
11858149,Moonsik,PATENTED_BY
11858149,Sang Ki,PATENTED_BY
11858149,Sookhyun,PATENTED_BY
11858207,Cola,PATENTED_BY
11858207,Madigan,PATENTED_BY
11858207,Dave,PATENTED_BY
11858207,Martin S.,PATENTED_BY
11858207,Mark J.,PATENTED_BY
11858207,Vivek R.,PATENTED_BY
11858207,R. Bruce Piltch,PATENTED_BY
11858356,Muffaddal,PATENTED_BY
11858356,Sanjay Ghadiali,PATENTED_BY
11858356,Dayal,PATENTED_BY
11858508,Boulton,PATENTED_BY
11858508,Grigore,PATENTED_BY
11858508,Phan,PATENTED_BY
11858508,Wolff,PATENTED_BY
11858508,Elena Corina,PATENTED_BY
11858508,Tung Minh,PATENTED_BY
11858508,Eric,PATENTED_BY
11858508,Emilio,PATENTED_BY
11858508,Freddy Frazzoli,PATENTED_BY
11858514,Wang,PATENTED_BY
11858514,Garimella,PATENTED_BY
11858514,Crego,PATENTED_BY
11858514,Kavalar,PATENTED_BY
11858514,Bagschik,PATENTED_BY
11858514,Andraz,PATENTED_BY
11858514,Andrew Scott,PATENTED_BY
11858514,Gowtham Haggblade,PATENTED_BY
11858514,Kai Zhenyu,PATENTED_BY
11858514,Gerrit,PATENTED_BY
11858514,Michael,PATENTED_BY
11858543,Akif,PATENTED_BY
11858543,Brand,PATENTED_BY
11858543,"Evan Paul Silcox, Jr.",PATENTED_BY
11858543,Sevel,PATENTED_BY
11858543,John,PATENTED_BY
11858543,Frederick Gary,PATENTED_BY
11858543,Sammy,PATENTED_BY
11858551,Adlai,PATENTED_BY
11858551,Georgios Felser,PATENTED_BY
11858551,Chrysanthakopoulos,PATENTED_BY
11858651,Akshata Kishore,PATENTED_BY
11858651,Arvind,PATENTED_BY
11858651,Kaustubh,PATENTED_BY
