start_id,end_id,type
11856881,CLIMATE LLC,ASSIGNED_TO
11856943,HYDAC SYSTEMS & SERVICES GMBH; Amazonen-Werke H. Dreyer SE & Co. KG,ASSIGNED_TO
11857204,Synthes GmbH,ASSIGNED_TO
11857257,OPTOS PLC,ASSIGNED_TO
11857288,UNIVERSITY OF VIRGINIA PATENT FOUNDATION,ASSIGNED_TO
11857323,NURALOGIX CORPORATION,ASSIGNED_TO
11857331,Bertec Corporation,ASSIGNED_TO
11857351,Globus Medical Inc.,ASSIGNED_TO
11857868,Electronic Arts Inc.,ASSIGNED_TO
11857872,NVIDIA CORPORATION,ASSIGNED_TO
11858122,"MFE Enterprises, Inc.",ASSIGNED_TO
11858149,LG ELECTRONICS INC.,ASSIGNED_TO
11858207,"Sigma Additive Solutions, Inc.",ASSIGNED_TO
11858356,Electriphi Inc,ASSIGNED_TO
11858508,Motional AD LLC,ASSIGNED_TO
11858514,"Zoox, Inc.",ASSIGNED_TO
11858543,Progress Rail Services Corporation,ASSIGNED_TO
11858551,"DCENTRALIZED SYSTEMS, INC.",ASSIGNED_TO
11858651,The Boeing Company,ASSIGNED_TO
11858796,BD KIESTRA B.V.,ASSIGNED_TO
11859488,BP Exploration Operating Company Limited,ASSIGNED_TO
11859626,HAMILTON SUNDSTRAND CORPORATION,ASSIGNED_TO
11859847,Johnson Controls Tyco IP Holdings LLP,ASSIGNED_TO
11859973,Intel Corporation,ASSIGNED_TO
11859985,"Lyft, Inc.",ASSIGNED_TO
11859998,"Beijing Baidu Netcom Science Technology Co., Ltd.",ASSIGNED_TO
11860027,Duradiamond Software Limited,ASSIGNED_TO
11860154,"Leuko Labs, Inc.",ASSIGNED_TO
11860216,"QINGDAO TOPSCOMM COMMUNICATION CO., LTD",ASSIGNED_TO
11860227,"SYNOPSYS, INC.",ASSIGNED_TO
11860286,"Telenav, Inc.",ASSIGNED_TO
11860288,Intel Corporation,ASSIGNED_TO
11860324,CHEVRON U.S.A. INC.,ASSIGNED_TO
11860325,Saudi Arabian Oil Company,ASSIGNED_TO
11860328,ENI S.P.A.,ASSIGNED_TO
11860592,"Ford Global Technologies, LLC",ASSIGNED_TO
11860617,TECHNISCHE UNIVERSITÄT BERLIN,ASSIGNED_TO
11860629,"UATC, LLC",ASSIGNED_TO
11860635,Trimble Inc.,ASSIGNED_TO
11860639,"Beijing Voyager Technology Co., Ltd.",ASSIGNED_TO
11860710,"Capital One Services, LLC",ASSIGNED_TO
11860720,International Business Machines Corporation,ASSIGNED_TO
11860721,Accenture Global Solutions Limited,ASSIGNED_TO
11860722,"Capital One Services, LLC",ASSIGNED_TO
11860724,Hewlett Packard Enterprise Development LP,ASSIGNED_TO
11860725,"Microsoft Technology Licensing, LLC",ASSIGNED_TO
11860726,Healtech Software India Pvt. Ltd.,ASSIGNED_TO
11860729,Oracle International Corporation,ASSIGNED_TO
11860733,"Western Digital Technologies, Inc.",ASSIGNED_TO
11860743,"Amazon Technologies, Inc.",ASSIGNED_TO
11860746,Dell Products L.P.,ASSIGNED_TO
11860757,"Lakeside Software, LLC",ASSIGNED_TO
11860759,"Capital One Services, LLC",ASSIGNED_TO
11860764,SIEMENS AKTIENGESELLSCHAFT,ASSIGNED_TO
11860769,"Amazon Technologies, Inc.",ASSIGNED_TO
11860796,Apple Inc.,ASSIGNED_TO
11860811,Arm Limited,ASSIGNED_TO
11860814,Konda Technologies Inc.,ASSIGNED_TO
11860817,"Rubrik, Inc.",ASSIGNED_TO
11860818,"Nutanix, Inc.",ASSIGNED_TO
11860820,"Pure Storage, Inc.",ASSIGNED_TO
11860822,LUTHER SYSTEMS US INCORPORATED,ASSIGNED_TO
11860824,Truist Bank,ASSIGNED_TO
11860827,"JPMORGAN CHASE BANK, N.A.",ASSIGNED_TO
11860831,Palantir Technologies Inc.,ASSIGNED_TO
11860839,Oracle International Corporation,ASSIGNED_TO
11860841,SAP SE,ASSIGNED_TO
11860846,Intel Corporation,ASSIGNED_TO
11860848,APPLICA SP. Z O.O.,ASSIGNED_TO
11860850,Snowflake Inc.,ASSIGNED_TO
11860852,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,ASSIGNED_TO
11860857,Google LLC,ASSIGNED_TO
11860864,SAP SE,ASSIGNED_TO
11860865,"KOFAX, INC.",ASSIGNED_TO
11860877,Dell Products L.P.,ASSIGNED_TO
11860883,"JPMORGAN CHASE BANK, N.A.",ASSIGNED_TO
11860884,Snap Inc.,ASSIGNED_TO
11860899,SAP SE,ASSIGNED_TO
11860912,"Ford Global Technologies, LLC",ASSIGNED_TO
11860914,"Casetext, Inc.",ASSIGNED_TO
11860916,DSilo Inc.,ASSIGNED_TO
11860917,Accenture Global Solutions Limited,ASSIGNED_TO
11860919,Zelig LLC,ASSIGNED_TO
11860928,International Business Machines Corporation,ASSIGNED_TO
11860929,Entefy Inc.,ASSIGNED_TO
11860949,Intuit Inc.,ASSIGNED_TO
11860954,"Zakta, LLC",ASSIGNED_TO
11860957,Verizon Patent and Licensing Inc.,ASSIGNED_TO
11860961,; ,ASSIGNED_TO
11860968,Wix.com Ltd.,ASSIGNED_TO
11860973,"APPLIED MATERIALS, INC.",ASSIGNED_TO
11860975,"Microsoft Technology Licensing, LLC",ASSIGNED_TO
11860976,TENCENT TECHNOLOGY (SHENZHEN) COMPANY LIMITED,ASSIGNED_TO
11860977,"Amazon Technologies, Inc.",ASSIGNED_TO
11860979,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,ASSIGNED_TO
11860992,"SYQURX, INC",ASSIGNED_TO
11861002,"Ambient AI, Inc.",ASSIGNED_TO
11861003,Intuit Inc.,ASSIGNED_TO
11861013,Accenture Global Solutions Limited,ASSIGNED_TO
11861026,"Materialise USA, LLC",ASSIGNED_TO
11861039,"Amazon Technologies, Inc.",ASSIGNED_TO
11861041,"Capital One Services, LLC",ASSIGNED_TO
11861066,KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,ASSIGNED_TO
11861135,The Boeing Company,ASSIGNED_TO
11861136,Apple Inc.,ASSIGNED_TO
11861150,,ASSIGNED_TO
11861166,Dell Products L.P.,ASSIGNED_TO
11861175,International Business Machines Corporation,ASSIGNED_TO
11861195,"Western Digital Technologies, Inc.",ASSIGNED_TO
11861199,"NETAPP, INC.",ASSIGNED_TO
11861201,EMC IP Holding Company LLC,ASSIGNED_TO
11861210,"SHENZHEN DAPU MICROELECTRONICS CO., LTD.",ASSIGNED_TO
11861214,Oracle International Corporation,ASSIGNED_TO
11861217,"Western Digital Technologies, Inc.",ASSIGNED_TO
11861224,"Western Digital Technologies, Inc.",ASSIGNED_TO
11861234,"Micron Technology, Inc.",ASSIGNED_TO
11861263,X Development LLC,ASSIGNED_TO
11861276,"WYBOTICS Co., LTD.",ASSIGNED_TO
11861280,"SAMSUNG DISPLAY CO., LTD.",ASSIGNED_TO
11861295,"Microsoft Technology Licensing, LLC",ASSIGNED_TO
11861301,The Boeing Company,ASSIGNED_TO
11861307,National Institute of Information and Communications Technology,ASSIGNED_TO
11861308,Intuit Inc.,ASSIGNED_TO
11861311,"JD.com American Technologies Corporation; BEIJING WODONG TIANJUN INFORMATION TECHNOLOGY CO., LTD.",ASSIGNED_TO
11861312,International Business Machines Corporation,ASSIGNED_TO
11861317,Educational Testing Service,ASSIGNED_TO
11861318,"SAMSUNG DISPLAY CO., LTD.",ASSIGNED_TO
11861320,"Casetext, Inc.",ASSIGNED_TO
11861331,Google LLC,ASSIGNED_TO
11861333,Google LLC,ASSIGNED_TO
11861335,Intuit Inc.,ASSIGNED_TO
11861336,C SQUARED IP HOLDINGS LLC,ASSIGNED_TO
11861337,"Micron Technology, Inc.",ASSIGNED_TO
11861342,MicroStrategy Incorporated,ASSIGNED_TO
11861352,"Microsoft Technology Licensing, LLC",ASSIGNED_TO
11861356,"Amazon Technologies, Inc.",ASSIGNED_TO
11861362,"Amazon Technologies, Inc.",ASSIGNED_TO
11861374,"CRYPTOGRAPHY RESEARCH, INC.",ASSIGNED_TO
11861382,"Huawei Technologies Co., Ltd.",ASSIGNED_TO
11861390,Parallels International GmbH,ASSIGNED_TO
11861410,"Nant Holdings IP, LLC",ASSIGNED_TO
11861422,Nordic Semiconductor ASA,ASSIGNED_TO
11861423,"Pure Storage, Inc.",ASSIGNED_TO
11861452,"Cadence Design Systems, Inc.",ASSIGNED_TO
11861455,D-WAVE SYSTEMS INC.,ASSIGNED_TO
11861465,"BLUEBIRD LABS, INC.",ASSIGNED_TO
11861466,Google LLC,ASSIGNED_TO
11861467,QUALCOMM Incorporated,ASSIGNED_TO
11861468,KPN INNOVATIONS LLC,ASSIGNED_TO
11861469,International Business Machines Corporation,ASSIGNED_TO
11861470,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,ASSIGNED_TO
11861472,"Zscaler, Inc.",ASSIGNED_TO
11861474,DeepMind Technologies Limited,ASSIGNED_TO
11861475,Mayo Foundation for Medical Education and Research; Arizona Board of Regents on behalf of Arizona State University,ASSIGNED_TO
11861476,International Business Machines Corporation,ASSIGNED_TO
11861477,"Capital One Services, LLC",ASSIGNED_TO
11861478,TENCENT TECHNOLOGY (SHENZHEN) COMPANY LIMITED,ASSIGNED_TO
11861481,Waymo LLC,ASSIGNED_TO
11861482,DISTECH CONTROLS INC.,ASSIGNED_TO
11861483,KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,ASSIGNED_TO
11861484,QUALCOMM Incorporated,ASSIGNED_TO
11861486,"DEEPX CO., LTD.",ASSIGNED_TO
11861489,Huazhong University of Science and Technology,ASSIGNED_TO
11861490,"Amazon Technologies, Inc.",ASSIGNED_TO
11861491,"ILLUMINA, INC.",ASSIGNED_TO
11861492,"Cadence Design Systems, Inc.",ASSIGNED_TO
11861493,"Micron Technology, Inc.",ASSIGNED_TO
11861494,Intel Corporation,ASSIGNED_TO
11861495,Intel Corporation,ASSIGNED_TO
11861496,"Aveva Software, LLC",ASSIGNED_TO
11861497,L'OREAL,ASSIGNED_TO
11861498,"Beijing Baidu Netcom Science Technology Co., Ltd.",ASSIGNED_TO
11861499,"Huawei Technologies Co., Ltd.",ASSIGNED_TO
11861502,"PassiveLogic, Inc.",ASSIGNED_TO
11861503,"Akasa, Inc.",ASSIGNED_TO
11861504,"SAMSUNG DISPLAY CO., LTD.; Seoul National University R&DB Foundation",ASSIGNED_TO
