id,title,abstract,patent_date,year
11856881,"Detection of plant diseases with multi-stage, multi-scale deep learning","A computer system is provided comprising a classification model management server computer configured, by instructions, to: receive a new image from a user device; apply a first digital model to first regions within the new image for classifying each of the first regions into a particular class; apply a second digital model to second regions within the new image for classifying each of the second regions into a particular class; and transmit classification data related to the class of the first regions and the class of the second regions to the user device. In connection therewith, the second regions each generally correspond to a combination of multiple first regions.",2024-01-02,2024
11856943,"Control system, agricultural utility vehicle and method for controlling an agricultural utility vehicle","A control system for an agricultural utility vehicle includes a distributor linkage for applying fertilizer, plant protection agents, or seed, the distributor linkage having a center part and two lateral extension arms. The center part is arranged so that it can be moved along a vertical axis to adjust the height of the distributor linkage. At least three sensors for determining the distance between the center part and a respective extension arm to the ground are assigned to the distributor linkage, and the system includes a data processing unit such that signals from the sensors are processed as actual values to generate an actuating signal for a hydraulic device is generated for adaptation to a target distance.",2024-01-02,2024
11857204,Surgical instrument,"A surgical instrument (25), in particular a surgical cutting or drilling instrument, the surgical instrument (25) comprising: a drive unit; a cutting tool or drill bit (5) engageable with the drive unit; a measuring device (1) which is configured to measure the distance [x(t)] covered by the cutting tool or drill bit (5) along a cutting or drilling path with respect to time and relative to a reference position; a processing un and a digital data storage, wherein in the digital data storage reference data are stored which include at least N one data set specifying a reference graph GRef within a time window (11) in the range of a transition and defining a reference point of a transition (21′), wherein the time window (11) includes a first time period before the reference point of a transition (21′) and a second time period after the reference point of a transition (21′) and wherein the processing unit (14) suitably programmed to compare the recorded graph G with the at least one reference graph GRef and to find 1 lion of a transition (21) in the recorded graph G.",2024-01-02,2024
11857257,Functional oct data processing,"A method of processing functional OCT image data, acquired by an OCT scanner scanning a retina that is being repeatedly stimulated by a light stimulus, to obtain a response of the retina to the light stimulus, comprising: receiving OCT image data generated by the OCT scanner repeatedly scanning the retina over a time period, and a sequence of stimulus indicators each indicative of a stimulation of the retina by the light stimulus in a respective time interval of a sequence of time intervals spanning the time period; calculating, for each stimulus indicator, a product of the stimulus indicator and a respective windowed portion of the sequence of B-scans comprising a B-scan based on a portion of the OCT image data generated while the retina was being stimulated in accordance with the stimulus indicator; and combining the calculated products to generate the indication of the response.",2024-01-02,2024
11857271,Markerless navigation using AI computer vision,"Provided herein are devices, systems, and methods for a three-dimensional registering, tracking, and/or guiding an object of interest, such a body part, a surgical tool, or an implant, during a surgical procedure. Such devices, systems, and methods may offer minimally invasive, high precision registering, tracking, and/or guiding of the object of interest using a patterned light beam and data processing using artificial intelligence. The methods, devices, and systems disclosed herein may be compatible with a simple marker or markers placed by a minimally invasive method on the object of interest.",2024-01-02,2024
11857288,Systems and methods for phase unwrapping for dense MRI using deep learning,"A method of cardiac strain analysis uses displacement encoded magnetic resonance image (MRI) data of a heart of the subject and includes generating a phase image for each frame of the displacement encoded MRI data. Phase images include potentially phase-wrapped measured phase values corresponding to pixels of the frame. A convolutional neural network CNN computes a wrapping label map for the phase image, and the wrapping label map includes a respective number of phase wrap cycles present at each pixel in the phase image. Computing an unwrapped phase image includes adding a respective phase correction to each of the potentially-wrapped measured phase values of the phase image, and the phase correction is based on the number of phase wrap cycles present at each pixel. Computing myocardial strain follows by using the unwrapped phase image for strain analysis of the subject.",2024-01-02,2024
11857323,System and method for camera-based stress determination,"A system and method for camera-based stress determination. The method includes: determining a plurality of regions-of-interest (ROIs) of a body part; determining a set of bitplanes in a captured image sequence for each ROI that represent HC changes using a trained machine learning model, the machine learning model trained with a hemoglobin concentration (HC) changes training set, the HC changes training set trained using bitplanes from previously captured image sequences of other human individuals as input and received cardiovascular data as targets; determining an HC change signal for each of the ROIs based on changes in the set of determined bitplanes; for each ROI, determining intervals between heartbeats based on peaks in the HC change signal; determining heart rate variability using the intervals between heartbeats; determining a stress level using at least one determination of a standard deviation of the heart rate variability; and outputting the stress level.",2024-01-02,2024
11857331,Force measurement system,"A force measurement system is disclosed herein. The force measurement system includes at least one user input device, a force measurement assembly configured to receive a subject, at least one visual display device, and one or more data processing devices operatively coupled to the user input device, the force measurement assembly, and the visual display device. The one or more data processing devices being programmed to receive the one or more input signals from the user input device based upon one or more selections by the user, the one or more selections including a scene movement setting and a force measurement assembly movement setting; display the one or more scenes on the output screen of the at least one visual display based upon the scene movement setting selected by the user; and control the force measurement assembly based upon the force measurement assembly movement setting selected by the user.",2024-01-02,2024
11857351,Robotic surgical system and method,"A robotic surgical system is provided that includes a robot connected to a computer system to help effect control of the robot. A tool is removably mounted to a distal end of a robot arm. The tool is adapted to selectively grip, move and drive an effector and a coupled fastener. The fastener is used in orthopedic surgery, and the effector is uncoupled from the fastener after it is inserted in a patient.",2024-01-02,2024
11857759,System for detecting and reporting fluid levels in an infusion device,"This disclosure addresses a monitoring device for an infusion system. The device is typically used with an infusion device utilizing a clear reservoir bag holding the supplied fluid. The device uses light sources and sensors to accurately determine the level of the fluid, the amount of fluid being supplied, and when replenishment of the fluid is required. In addition, the device may utilize ultrasound sources and sensors as backups to the light system. The device further includes a data processing module that gathers, stores, and reports data relative to the fluid flow properties of the infusion device.",2024-01-02,2024
